ing_amount,ingredients,preparation,title,url
"1.5 oz.,0.75 oz.,0.75 oz.,0.5 oz.","Gin,Orange Liqueur,Lemon Juice,Soda Water"," Fill your rocks glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the gin, orange liqueur and lemon juice into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the rocks glass,Top off the glass with soda water,Lastly, garnish your cocktail with an orange slice",Daisy,https://www.makemycocktail.com/cocktails/Daisy.php
"0.5 oz.,0.5 oz.,0.5 oz.,0.5 oz.,0.5 oz.,0.75 oz.,0.75 oz.,2 oz.","Gin,Vodka,Tequila,Rum,Orange Liqueur,Lemon Juice,Simple Syrup,Lemon-Lime Soda"," Fill your highball glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the ingredients (excluding lemon-lime soda) into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Top off the glass with lemon-lime soda,Gently stir with a straw,Lastly, garnish your cocktail with a lemon wheel",AMF,https://www.makemycocktail.com/cocktails/AMF.php
"2 oz.,0.25 oz.,3 dash","Brandy,Simple Syrup,Bitters"," Fill your rocks glass with large ice,Fill a mixing glass 2/3 full with cracked ice,Add the whiskey, simple syrup and bitters to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the rocks glass,Lastly, garnish your cocktail with an orange twist",Brandy Old Fashioned,https://www.makemycocktail.com/cocktails/BrandyOldFashioned.php
"1 oz.,1 oz.,1 oz.,2 oz.,1 oz.,1 oz.","Whiskey,Vodka,Peach Schnapps,Orange Juice,Lime Juice,Simple Syrup"," Fill your highball glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the ingredients into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Lastly, garnish your cocktail with an orange wedge and a cherry",Black Eyed Susan,https://www.makemycocktail.com/cocktails/BlackEyedSusan.php
"1.5 oz.,0.5 oz.,1 oz.,0.5 oz.","Vodka,Orange Liqueur,Cranberry Juice,Lime Juice"," Chill your cosmopolitan or martini glass before preparing the cocktail,Fill your cocktail shaker 2/3 full with cracked ice,Pour the vodka, orange liqueur, cranberry juice and lime juice into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the chilled glass,Lastly, garnish your cocktail with a lime wheel",Cosmopolitan,https://www.makemycocktail.com/cocktails/Cosmopolitan.php
"2 oz.,0.5 oz.,4 oz.","Whiskey,Lime Juice,Ginger Beer"," Fill your copper mug with ice,Pour the bourbon and lime juice directly into the mug,Top off the mug with ginger beer,Lastly, garnish your cocktail with a lime wedge",Kentucky Mule,https://www.makemycocktail.com/cocktails/KentuckyMule.php
"1.5 oz.,1.5 oz.,0.5 oz.,0.5 oz.,0.5 oz.","Coconut Liqueur,Pineapple Juice,Orange Liqueur,Water*,Grenadine"," Pour the grenadine into the bottom of an empty hurricane glass,Fill your hurricane glass full with crushed ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the coconut liqueur and pineapple juice into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the hurricane glass,In a separate mixing vessel, stir equal parts water and blue curacao,Slowly pour the combined mixture into the hurricane glass,Lastly, garnish your cocktail with a pineapple wedge",Paradise,https://www.makemycocktail.com/cocktails/Paradise.php
"2.5 oz.,0.5 oz.","Gin,Dry Vermouth"," Chill your martini glass before preparing the cocktail,Fill a mixing glass 2/3 full with cracked ice,Add the gin and dry vermouth to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the chilled martini glass,Lastly, garnish your cocktail with two olives",Martini,https://www.makemycocktail.com/cocktails/Martini.php
"0.5 oz.,0.5 oz.,0.5 oz.,0.5 oz.,0.5 oz.,0.75 oz.,0.75 oz.,2 oz.","Gin,Vodka,Tequila,Rum,Orange Liqueur,Lemon Juice,Simple Syrup,Cola"," Fill your highball glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the ingredients (excluding cola) into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Top off the glass with cola,Gently stir with a straw,Lastly, garnish your cocktail with a lemon wedge",Long Island Ice Tea,https://www.makemycocktail.com/cocktails/LongIsland.php
"1.5 oz.,5 oz.","Rum,Cranberry Juice"," Fill your highball glass with ice,Pour the rum and cranberry juice directly into the glass,Gently stir with a straw,Lastly, garnish your cocktail with a lime wedge",Rum Cape Codder,https://www.makemycocktail.com/cocktails/RumCapeCodder.php
